город,оценка,дата
Ерцево,5.0,"Отзыв написан 1 июля, 2014, 13:22"
Вадинск,4.0,"Отзыв написан 30 июня, 2014, 21:24"
Агириш,3.0,"Отзыв написан 30 июня, 2014, 08:54"
Каспийск,5.0,"Отзыв написан 29 июня, 2014, 23:58"
Соль-Илецк,4.0,"Отзыв написан 29 июня, 2014, 20:46"
Новосибирск,2.0,"Отзыв написан 29 июня, 2014, 06:08"
Натальевка,5.0,"Отзыв написан 29 июня, 2014, 00:18"
Ростов-на-Дону,1.0,"Отзыв написан 28 июня, 2014, 21:34"
Кижи,4.0,"Отзыв написан 28 июня, 2014, 17:51"
Квакшино,3.0,"Отзыв написан 28 июня, 2014, 16:48"
Кандалакша,3.0,"Отзыв написан 28 июня, 2014, 16:29"
Кашин,4.0,"Отзыв написан 28 июня, 2014, 16:08"
Калязин,2.0,"Отзыв написан 28 июня, 2014, 15:46"
Калуга,3.0,"Отзыв написан 28 июня, 2014, 15:12"
Калистово,3.0,"Отзыв написан 28 июня, 2014, 09:53"
Истра,4.0,"Отзыв написан 28 июня, 2014, 09:38"
Иркутск,4.0,"Отзыв написан 28 июня, 2014, 09:04"
Репьевка,4.0,"Отзыв написан 28 июня, 2014, 08:45"
Икша,3.0,"Отзыв написан 27 июня, 2014, 20:12"
Изоплит,2.0,"Отзыв написан 27 июня, 2014, 20:01"
Селезни,4.0,"Отзыв написан 27 июня, 2014, 14:25"
Змеево,3.0,"Отзыв написан 27 июня, 2014, 13:20"
Соль-Илецк,4.0,"Отзыв написан 26 июня, 2014, 16:22"
Дальняя Полубянка,4.0,"Отзыв написан 26 июня, 2014, 11:17"
Нижняя Кня,1.0,"Отзыв написан 25 июня, 2014, 22:13"
Брянск,3.0,"Отзыв написан 25 июня, 2014, 11:47"
Балаково,1.0,"Отзыв написан 25 июня, 2014, 11:23"
Звенигород,5.0,"Отзыв написан 25 июня, 2014, 09:27"
Запрудня,3.0,"Отзыв написан 25 июня, 2014, 08:38"
Завидово,4.0,"Отзыв написан 24 июня, 2014, 16:58"
Жестылево,3.0,"Отзыв написан 24 июня, 2014, 12:20"
Родыки,5.0,"Отзыв написан 24 июня, 2014, 12:07"
Железнодорожный,3.0,"Отзыв написан 24 июня, 2014, 12:04"
Ельдигино,3.0,"Отзыв написан 24 июня, 2014, 11:47"
Елецкий,4.0,"Отзыв написан 24 июня, 2014, 11:36"
Тула,2.0,"Отзыв написан 23 июня, 2014, 11:15"
Бармино,5.0,"Отзыв написан 22 июня, 2014, 22:51"
Шуя,3.0,"Отзыв написан 22 июня, 2014, 22:27"
Бармино,1.0,"Отзыв написан 22 июня, 2014, 21:58"
Елгозино,2.0,"Отзыв написан 22 июня, 2014, 19:39"
Кронштадт,5.0,"Отзыв написан 22 июня, 2014, 15:48"
Екатеринбург,1.0,"Отзыв написан 22 июня, 2014, 14:56"
Йошкар-Ола,4.0,"Отзыв написан 22 июня, 2014, 14:49"
Саргатское,5.0,"Отзыв написан 22 июня, 2014, 11:17"
Ейск,5.0,"Отзыв написан 22 июня, 2014, 09:47"
Дубна,3.0,"Отзыв написан 22 июня, 2014, 08:53"
Колодежное,5.0,"Отзыв написан 21 июня, 2014, 19:25"
Внуково,3.0,"Отзыв написан 21 июня, 2014, 19:19"
Дмитров,5.0,"Отзыв написан 21 июня, 2014, 18:26"
Джанхот,4.0,"Отзыв написан 21 июня, 2014, 18:17"
Корсино,5.0,"Отзыв написан 21 июня, 2014, 16:55"
Владикавказ,2.0,"Отзыв написан 21 июня, 2014, 12:09"
Деденево,4.0,"Отзыв написан 21 июня, 2014, 08:48"
Городня,5.0,"Отзыв написан 21 июня, 2014, 08:36"
Череповец,1.0,"Отзыв написан 21 июня, 2014, 01:03"
Нижний Новгород,4.0,"Отзыв написан 19 июня, 2014, 23:34"
Жирновск,5.0,"Отзыв написан 19 июня, 2014, 20:55"
Рязань,5.0,"Отзыв написан 19 июня, 2014, 19:07"
Москва,4.0,"Отзыв написан 19 июня, 2014, 17:58"
Новороссийск,2.0,"Отзыв написан 19 июня, 2014, 17:29"
Краснодар,3.0,"Отзыв написан 19 июня, 2014, 16:28"
Йошкар-Ола,5.0,"Отзыв написан 19 июня, 2014, 09:53"
Тогул,5.0,"Отзыв написан 19 июня, 2014, 08:31"
Геленджик,5.0,"Отзыв написан 18 июня, 2014, 20:41"
Тверь,4.0,"Отзыв написан 18 июня, 2014, 18:18"
Красный Октябрь,5.0,"Отзыв написан 18 июня, 2014, 13:57"
Ижевск,2.0,"Отзыв написан 18 июня, 2014, 12:42"
Соль-Илецк,2.0,"Отзыв написан 18 июня, 2014, 11:54"
Вышний Волочёк,2.0,"Отзыв написан 17 июня, 2014, 20:17"
Высоковск,3.0,"Отзыв написан 17 июня, 2014, 19:17"
Староротовка,5.0,"Отзыв написан 17 июня, 2014, 17:01"
Нижний Новгород,3.0,"Отзыв написан 17 июня, 2014, 14:19"
Артём,3.0,"Отзыв написан 17 июня, 2014, 06:53"
Бабаево,1.0,"Отзыв написан 16 июня, 2014, 21:36"
Омск,2.0,"Отзыв написан 16 июня, 2014, 12:15"
Саратов,3.0,"Отзыв написан 16 июня, 2014, 12:02"
Белгород,5.0,"Отзыв написан 16 июня, 2014, 09:59"
Сеяха,2.0,"Отзыв написан 16 июня, 2014, 08:11"
Соколка,4.0,"Отзыв написан 15 июня, 2014, 16:53"
Майкоп,4.0,"Отзыв написан 15 июня, 2014, 16:42"
Вологда,5.0,"Отзыв написан 15 июня, 2014, 07:59"
Волгоград,5.0,"Отзыв написан 15 июня, 2014, 07:27"
Владимир,5.0,"Отзыв написан 14 июня, 2014, 19:58"
Владикавказ,4.0,"Отзыв написан 14 июня, 2014, 19:03"
Каксинвай,3.0,"Отзыв написан 14 июня, 2014, 14:34"
Саянск,2.0,"Отзыв написан 14 июня, 2014, 00:29"
Екатеринбург,5.0,"Отзыв написан 12 июня, 2014, 21:42"
Москва,3.0,"Отзыв написан 12 июня, 2014, 21:33"
Пыховка,1.0,"Отзыв написан 12 июня, 2014, 15:03"
Великая Губа,4.0,"Отзыв написан 12 июня, 2014, 09:19"
Введенское,3.0,"Отзыв написан 12 июня, 2014, 09:08"
Васильевский Мох,3.0,"Отзыв написан 12 июня, 2014, 08:45"
Брёхово,2.0,"Отзыв написан 11 июня, 2014, 22:01"
Братовщина,3.0,"Отзыв написан 11 июня, 2014, 20:30"
Ботово,2.0,"Отзыв написан 11 июня, 2014, 20:26"
Верхние Шипки,5.0,"Отзыв написан 11 июня, 2014, 17:30"
Томмот,5.0,"Отзыв написан 10 июня, 2014, 23:01"
Волгоград,3.0,"Отзыв написан 10 июня, 2014, 17:20"
Геленджик,1.0,"Отзыв написан 10 июня, 2014, 01:29"
Аша,5.0,"Отзыв написан 9 июня, 2014, 06:44"
Ахматовка,5.0,"Отзыв написан 8 июня, 2014, 15:09"
Соль-Илецк,5.0,"Отзыв написан 8 июня, 2014, 14:22"
Тарко-Сале,3.0,"Отзыв написан 8 июня, 2014, 09:36"
Лопарево,5.0,"Отзыв написан 7 июня, 2014, 21:50"
Курск,4.0,"Отзыв написан 7 июня, 2014, 14:51"
Бородино,5.0,"Отзыв написан 6 июня, 2014, 18:33"
Боровск,5.0,"Отзыв написан 6 июня, 2014, 18:02"
Архипо-Осиповка,4.0,"Отзыв написан 6 июня, 2014, 12:51"
Красноуральск,2.0,"Отзыв написан 6 июня, 2014, 12:34"
Орел,1.0,"Отзыв написан 6 июня, 2014, 05:52"
Орел,1.0,"Отзыв написан 6 июня, 2014, 05:50"
Пильна,2.0,"Отзыв написан 6 июня, 2014, 00:03"
Борисоглебский,5.0,"Отзыв написан 5 июня, 2014, 22:31"
Ейск,5.0,"Отзыв написан 5 июня, 2014, 21:26"
Воронеж,4.0,"Отзыв написан 5 июня, 2014, 15:39"
Боровичи,3.0,"Отзыв написан 5 июня, 2014, 15:28"
Боголюбово,4.0,"Отзыв написан 5 июня, 2014, 15:13"
Березовский Рядок,3.0,"Отзыв написан 5 июня, 2014, 14:54"
Березайка,2.0,"Отзыв написан 5 июня, 2014, 07:11"
Бережки,3.0,"Отзыв написан 5 июня, 2014, 07:06"
Заветы Ильича,4.0,"Отзыв написан 4 июня, 2014, 22:16"
Москва,1.0,"Отзыв написан 4 июня, 2014, 21:36"
Соль-Илецк,5.0,"Отзыв написан 4 июня, 2014, 12:19"
Белорецк,4.0,"Отзыв написан 3 июня, 2014, 08:18"
Беломорск,3.0,"Отзыв написан 3 июня, 2014, 08:11"
Апатиты,2.0,"Отзыв написан 3 июня, 2014, 07:56"
Воронеж,4.0,"Отзыв написан 2 июня, 2014, 18:47"
Новосибирск,2.0,"Отзыв написан 1 июня, 2014, 13:53"
Невинномысск,2.0,"Отзыв написан 1 июня, 2014, 11:28"
Севастополь,5.0,"Отзыв написан 1 июня, 2014, 08:58"
Архипо-Осиповка,4.0,"Отзыв написан 1 июня, 2014, 08:23"
Темрюк,5.0,"Отзыв написан 1 июня, 2014, 08:11"
Сукко,4.0,"Отзыв написан 1 июня, 2014, 07:56"
Анапа,2.0,"Отзыв написан 1 июня, 2014, 07:34"
Белгород,2.0,"Отзыв написан 1 июня, 2014, 00:29"
Белгород,3.0,"Отзыв написан 1 июня, 2014, 00:14"
Чанко,5.0,"Отзыв написан 31 мая, 2014, 22:52"
Благовещенск,4.0,"Отзыв написан 31 мая, 2014, 20:25"
Киров,2.0,"Отзыв написан 31 мая, 2014, 19:57"
Краснодар,5.0,"Отзыв написан 30 мая, 2014, 23:45"
Моряк-Рыболов,5.0,"Отзыв написан 30 мая, 2014, 19:19"
Улан-Удэ,4.0,"Отзыв написан 30 мая, 2014, 01:17"
Сосновый Бор,4.0,"Отзыв написан 30 мая, 2014, 00:29"
Хабаровск,5.0,"Отзыв написан 29 мая, 2014, 00:58"
Ангелово,2.0,"Отзыв написан 28 мая, 2014, 09:06"
Зеленодольск,5.0,"Отзыв написан 27 мая, 2014, 19:09"
Тутура,4.0,"Отзыв написан 27 мая, 2014, 14:48"
Нововоронеж,3.0,"Отзыв написан 25 мая, 2014, 16:24"
Элегест,5.0,"Отзыв написан 25 мая, 2014, 13:33"
Подольск,1.0,"Отзыв написан 25 мая, 2014, 12:41"
Краснодар,5.0,"Отзыв написан 24 мая, 2014, 22:29"
Высоковск,4.0,"Отзыв написан 24 мая, 2014, 12:03"
Ростов-на-Дону,1.0,"Отзыв написан 23 мая, 2014, 21:34"
Нерюнгри,2.0,"Отзыв написан 23 мая, 2014, 17:27"
Певек,5.0,"Отзыв написан 23 мая, 2014, 14:11"
Садовое,5.0,"Отзыв написан 23 мая, 2014, 13:11"
Алдан,2.0,"Отзыв написан 22 мая, 2014, 13:11"
Чагда,2.0,"Отзыв написан 22 мая, 2014, 13:06"
Химки,4.0,"Отзыв написан 22 мая, 2014, 13:01"
Харп,2.0,"Отзыв написан 22 мая, 2014, 12:46"
Пермь,1.0,"Отзыв написан 22 мая, 2014, 05:03"
Яхрома,4.0,"Отзыв написан 21 мая, 2014, 22:20"
Мокрая Ольховка,5.0,"Отзыв написан 21 мая, 2014, 19:17"
Одоев,4.0,"Отзыв написан 21 мая, 2014, 18:31"
Варзуга,4.0,"Отзыв написан 21 мая, 2014, 14:12"
Рудногорск,5.0,"Отзыв написан 20 мая, 2014, 23:47"
Алыгджер,2.0,"Отзыв написан 20 мая, 2014, 22:35"
Андреевка,3.0,"Отзыв написан 20 мая, 2014, 22:10"
Кучугуры,4.0,"Отзыв написан 20 мая, 2014, 21:02"
Новороссийск,4.0,"Отзыв написан 20 мая, 2014, 20:47"
Краснодар,4.0,"Отзыв написан 20 мая, 2014, 19:52"
Полднево,5.0,"Отзыв написан 20 мая, 2014, 17:36"
Жилотково,5.0,"Отзыв написан 19 мая, 2014, 18:06"
Зеленодольск,1.0,"Отзыв написан 19 мая, 2014, 00:05"
Воронеж,3.0,"Отзыв написан 18 мая, 2014, 23:47"
Кострома,5.0,"Отзыв написан 18 мая, 2014, 20:45"
Волгоград,1.0,"Отзыв написан 18 мая, 2014, 17:26"
Воронеж,1.0,"Отзыв написан 18 мая, 2014, 15:21"
Чертовищи,5.0,"Отзыв написан 18 мая, 2014, 11:37"
Алабушево,3.0,"Отзыв написан 18 мая, 2014, 10:05"
Абрау-Дюрсо,4.0,"Отзыв написан 18 мая, 2014, 09:19"
Абезь,1.0,"Отзыв написан 18 мая, 2014, 09:14"
Доброе,4.0,"Отзыв написан 17 мая, 2014, 19:02"
Ржев,3.0,"Отзыв написан 16 мая, 2014, 10:19"
Ярославль,5.0,"Отзыв написан 16 мая, 2014, 10:05"
Зарайск,4.0,"Отзыв написан 16 мая, 2014, 09:57"
Тверь,5.0,"Отзыв написан 16 мая, 2014, 09:42"
Пушкин,1.0,"Отзыв написан 15 мая, 2014, 16:13"
Ростов-на-Дону,5.0,"Отзыв написан 14 мая, 2014, 16:29"
Жигулёвск,2.0,"Отзыв написан 14 мая, 2014, 11:14"
Кашира,2.0,"Отзыв написан 13 мая, 2014, 23:10"
Углич,5.0,"Отзыв написан 13 мая, 2014, 22:56"
Углич,5.0,"Отзыв написан 13 мая, 2014, 22:25"
Краснодар,3.0,"Отзыв написан 12 мая, 2014, 15:19"
Волобуевка,3.0,"Отзыв написан 12 мая, 2014, 10:07"
Красноярск,5.0,"Отзыв написан 11 мая, 2014, 20:36"
Ключи,5.0,"Отзыв написан 11 мая, 2014, 09:36"
Калининград,4.0,"Отзыв написан 10 мая, 2014, 23:30"
Анатыш,4.0,"Отзыв написан 10 мая, 2014, 19:36"
Цветочное,5.0,"Отзыв написан 10 мая, 2014, 15:25"
Тацинская,5.0,"Отзыв написан 10 мая, 2014, 00:09"
Воронеж,5.0,"Отзыв написан 9 мая, 2014, 17:38"
Красноторовка,4.0,"Отзыв написан 9 мая, 2014, 14:54"
Ловозеро,4.0,"Отзыв написан 8 мая, 2014, 20:57"
Хасавюрт,3.0,"Отзыв написан 8 мая, 2014, 15:50"
Белгород,1.0,"Отзыв написан 7 мая, 2014, 00:13"
Зеленодольск,5.0,"Отзыв написан 6 мая, 2014, 22:55"
Акъяр,5.0,"Отзыв написан 6 мая, 2014, 21:21"
Белгород,3.0,"Отзыв написан 6 мая, 2014, 17:06"
Туймазы,5.0,"Отзыв написан 6 мая, 2014, 17:05"
Альметьевск,5.0,"Отзыв написан 6 мая, 2014, 16:48"
Александров,2.0,"Отзыв написан 6 мая, 2014, 12:58"
Псков,2.0,"Отзыв написан 6 мая, 2014, 10:53"
Волгоград,3.0,"Отзыв написан 5 мая, 2014, 22:22"
Пангоды,4.0,"Отзыв написан 5 мая, 2014, 15:52"
Пермь,3.0,"Отзыв написан 5 мая, 2014, 15:38"
Качканар,1.0,"Отзыв написан 4 мая, 2014, 14:12"
Орел,1.0,"Отзыв написан 3 мая, 2014, 20:21"
Зеленоград,4.0,"Отзыв написан 2 мая, 2014, 12:39"
Вичуга,2.0,"Отзыв написан 30 апреля, 2014, 21:34"
Новомосковск,2.0,"Отзыв написан 30 апреля, 2014, 19:14"
Белгород,4.0,"Отзыв написан 30 апреля, 2014, 18:41"
Москва,4.0,"Отзыв написан 30 апреля, 2014, 17:36"
Вологда,4.0,"Отзыв написан 30 апреля, 2014, 17:17"
Мурманск,2.0,"Отзыв написан 30 апреля, 2014, 17:08"
Киров,5.0,"Отзыв написан 30 апреля, 2014, 12:51"
Каргаполье,5.0,"Отзыв написан 28 апреля, 2014, 19:35"
Мурманск,5.0,"Отзыв написан 27 апреля, 2014, 12:28"
Мечетинская,1.0,"Отзыв написан 27 апреля, 2014, 10:57"
Москва,1.0,"Отзыв написан 26 апреля, 2014, 04:57"
Архангельск,2.0,"Отзыв написан 24 апреля, 2014, 13:41"
Астрахань,4.0,"Отзыв написан 24 апреля, 2014, 11:39"
Демьянское,3.0,"Отзыв написан 23 апреля, 2014, 12:02"
Междуреченск,5.0,"Отзыв написан 22 апреля, 2014, 09:33"
Елнать,5.0,"Отзыв написан 21 апреля, 2014, 22:37"
Белгород,5.0,"Отзыв написан 21 апреля, 2014, 18:30"
Москва,5.0,"Отзыв написан 20 апреля, 2014, 21:58"
Москва,4.0,"Отзыв написан 19 апреля, 2014, 13:02"
Соликамск,4.0,"Отзыв написан 18 апреля, 2014, 13:36"
Воркута,1.0,"Отзыв написан 18 апреля, 2014, 12:49"
Нижнекамск,4.0,"Отзыв написан 17 апреля, 2014, 21:18"
Казань,2.0,"Отзыв написан 17 апреля, 2014, 12:02"
Пеганово,5.0,"Отзыв написан 16 апреля, 2014, 23:19"
Новокаменка,2.0,"Отзыв написан 16 апреля, 2014, 19:21"
Пржевальское,5.0,"Отзыв написан 16 апреля, 2014, 19:00"
Москва,5.0,"Отзыв написан 16 апреля, 2014, 15:06"
Гофицкое,4.0,"Отзыв написан 16 апреля, 2014, 13:29"
Гофицкое,4.0,"Отзыв написан 16 апреля, 2014, 13:28"
Чихачево,3.0,"Отзыв написан 15 апреля, 2014, 22:05"
Чудиново,5.0,"Отзыв написан 15 апреля, 2014, 21:21"
Ульяновск,4.0,"Отзыв написан 15 апреля, 2014, 18:16"
Майкоп,4.0,"Отзыв написан 15 апреля, 2014, 06:41"
Пушкино,5.0,"Отзыв написан 14 апреля, 2014, 11:47"
Кубинка,1.0,"Отзыв написан 13 апреля, 2014, 13:01"
Истра,3.0,"Отзыв написан 13 апреля, 2014, 12:56"
Якутск,1.0,"Отзыв написан 13 апреля, 2014, 12:22"
Саранск,5.0,"Отзыв написан 12 апреля, 2014, 16:17"
Ессентуки,1.0,"Отзыв написан 11 апреля, 2014, 22:30"
Бараниковский,5.0,"Отзыв написан 10 апреля, 2014, 00:13"
Карлук,5.0,"Отзыв написан 8 апреля, 2014, 18:36"
Воронеж,5.0,"Отзыв написан 8 апреля, 2014, 16:02"
Воронеж,5.0,"Отзыв написан 8 апреля, 2014, 14:32"
Белый Колодезь,5.0,"Отзыв написан 7 апреля, 2014, 22:56"
Тверь,1.0,"Отзыв написан 7 апреля, 2014, 18:06"
Хоринск,4.0,"Отзыв написан 7 апреля, 2014, 17:57"
Воронеж,1.0,"Отзыв написан 7 апреля, 2014, 12:27"
Барнаул,4.0,"Отзыв написан 7 апреля, 2014, 05:57"
Луга,5.0,"Отзыв написан 7 апреля, 2014, 01:35"
Синяя Осока,5.0,"Отзыв написан 6 апреля, 2014, 01:42"
Саратов,3.0,"Отзыв написан 6 апреля, 2014, 00:14"
Нижний Новгород,1.0,"Отзыв написан 5 апреля, 2014, 23:55"
Юрьево,5.0,"Отзыв написан 5 апреля, 2014, 23:36"
Егорьевск,5.0,"Отзыв написан 5 апреля, 2014, 16:27"
Юваново,5.0,"Отзыв написан 5 апреля, 2014, 07:20"
Нижняя Иреть,3.0,"Отзыв написан 4 апреля, 2014, 22:08"
Бигила,4.0,"Отзыв написан 4 апреля, 2014, 12:34"
Белгород,4.0,"Отзыв написан 4 апреля, 2014, 10:26"
Щербинка,2.0,"Отзыв написан 3 апреля, 2014, 17:21"
Ивантеевка,4.0,"Отзыв написан 3 апреля, 2014, 12:06"
Шацк,5.0,"Отзыв написан 3 апреля, 2014, 11:45"
Сургут,5.0,"Отзыв написан 2 апреля, 2014, 16:23"
Ворсма,1.0,"Отзыв написан 2 апреля, 2014, 13:10"
Салтановка,5.0,"Отзыв написан 1 апреля, 2014, 11:00"
Дудовка,3.0,"Отзыв написан 31 марта, 2014, 21:32"
Богучаны,4.0,"Отзыв написан 31 марта, 2014, 12:08"
Тактагулово,5.0,"Отзыв написан 31 марта, 2014, 09:46"
Антиповка,1.0,"Отзыв написан 30 марта, 2014, 22:41"
Москва,1.0,"Отзыв написан 30 марта, 2014, 19:58"
Лучевое,3.0,"Отзыв написан 30 марта, 2014, 00:26"
Ивантеевка,5.0,"Отзыв написан 29 марта, 2014, 18:45"
Заводоуковск,1.0,"Отзыв написан 28 марта, 2014, 22:02"
Расховец,1.0,"Отзыв написан 28 марта, 2014, 14:56"
Судак,5.0,"Отзыв написан 27 марта, 2014, 11:34"
Судак,5.0,"Отзыв написан 27 марта, 2014, 11:26"
Жигулёвск,1.0,"Отзыв написан 27 марта, 2014, 10:47"
Аргамаково,5.0,"Отзыв написан 26 марта, 2014, 15:08"
Клин,1.0,"Отзыв написан 26 марта, 2014, 12:49"
Калинкино,4.0,"Отзыв написан 26 марта, 2014, 02:17"
Ейск,2.0,"Отзыв написан 25 марта, 2014, 12:01"
Астрахань,5.0,"Отзыв написан 24 марта, 2014, 21:36"
Решетниково,5.0,"Отзыв написан 24 марта, 2014, 00:40"
Долгопрудный,2.0,"Отзыв написан 23 марта, 2014, 17:42"
Ивантеевка,4.0,"Отзыв написан 23 марта, 2014, 16:59"
Ишимбай,3.0,"Отзыв написан 23 марта, 2014, 15:06"
Полярный,5.0,"Отзыв написан 23 марта, 2014, 13:30"
Вихоревка,5.0,"Отзыв написан 20 марта, 2014, 14:37"
Аргаш,5.0,"Отзыв написан 20 марта, 2014, 10:50"
Пятигорск,5.0,"Отзыв написан 19 марта, 2014, 16:51"
Сатка,5.0,"Отзыв написан 19 марта, 2014, 14:11"
Юшково,1.0,"Отзыв написан 19 марта, 2014, 11:16"
Санкт-Петербург,5.0,"Отзыв написан 18 марта, 2014, 14:32"
Майкоп,1.0,"Отзыв написан 18 марта, 2014, 13:48"
Братск,5.0,"Отзыв написан 17 марта, 2014, 21:43"
Палец,5.0,"Отзыв написан 17 марта, 2014, 12:49"
Песчанокопское,3.0,"Отзыв написан 16 марта, 2014, 20:57"
Дивеево,4.0,"Отзыв написан 16 марта, 2014, 20:00"
Пятовск,5.0,"Отзыв написан 16 марта, 2014, 19:10"
Коктебель,3.0,"Отзыв написан 16 марта, 2014, 17:44"
Высоковск,2.0,"Отзыв написан 16 марта, 2014, 17:29"
Носово,1.0,"Отзыв написан 16 марта, 2014, 17:05"
Старица,4.0,"Отзыв написан 16 марта, 2014, 17:02"
Волоколамск,3.0,"Отзыв написан 16 марта, 2014, 16:54"
Тверь,2.0,"Отзыв написан 16 марта, 2014, 15:03"
Кисловодск,3.0,"Отзыв написан 16 марта, 2014, 13:17"
Клин,2.0,"Отзыв написан 16 марта, 2014, 12:59"
Мартыновка,5.0,"Отзыв написан 16 марта, 2014, 11:18"
Пеганово,4.0,"Отзыв написан 16 марта, 2014, 09:20"
Москва,4.0,"Отзыв написан 15 марта, 2014, 23:20"
Волгоград,1.0,"Отзыв написан 15 марта, 2014, 18:13"
Югоренок,4.0,"Отзыв написан 15 марта, 2014, 08:23"
Курманаевка,1.0,"Отзыв написан 14 марта, 2014, 16:57"
Курск,5.0,"Отзыв написан 14 марта, 2014, 11:28"
Тюмень,3.0,"Отзыв написан 14 марта, 2014, 11:00"
Екатеринбург,4.0,"Отзыв написан 13 марта, 2014, 18:20"
Смоленск,2.0,"Отзыв написан 12 марта, 2014, 23:11"
Ставрополь,2.0,"Отзыв написан 12 марта, 2014, 22:52"
Санкт-Петербург,5.0,"Отзыв написан 12 марта, 2014, 22:16"
Ферсманово,5.0,"Отзыв написан 12 марта, 2014, 19:05"
Алтары,5.0,"Отзыв написан 12 марта, 2014, 14:53"
Заплавное,5.0,"Отзыв написан 12 марта, 2014, 14:35"
Александровское,5.0,"Отзыв написан 12 марта, 2014, 13:50"
Тюмень,5.0,"Отзыв написан 12 марта, 2014, 13:12"
Пай,3.0,"Отзыв написан 9 марта, 2014, 14:52"
Хомутово,4.0,"Отзыв написан 9 марта, 2014, 02:50"
Челябинск,5.0,"Отзыв написан 8 марта, 2014, 16:33"
Баррикада,5.0,"Отзыв написан 8 марта, 2014, 09:25"
Краснодар,5.0,"Отзыв написан 8 марта, 2014, 01:50"
Чистяково,5.0,"Отзыв написан 7 марта, 2014, 09:18"
Заулье,5.0,"Отзыв написан 6 марта, 2014, 11:53"
Княжьи Горы,4.0,"Отзыв написан 4 марта, 2014, 15:40"
Бельго,5.0,"Отзыв написан 4 марта, 2014, 14:07"
Аниховка,5.0,"Отзыв написан 4 марта, 2014, 04:17"
Белгород,3.0,"Отзыв написан 3 марта, 2014, 23:43"
Воронеж,5.0,"Отзыв написан 3 марта, 2014, 20:19"
Мережа,4.0,"Отзыв написан 3 марта, 2014, 19:43"
Ивантеевка,2.0,"Отзыв написан 3 марта, 2014, 10:13"
Солоти,5.0,"Отзыв написан 2 марта, 2014, 15:00"
Прилуки,2.0,"Отзыв написан 2 марта, 2014, 09:56"
Белоозерский,5.0,"Отзыв написан 1 марта, 2014, 18:11"
Чита,5.0,"Отзыв написан 28 февраля, 2014, 18:01"
Кривополянье,5.0,"Отзыв написан 28 февраля, 2014, 14:27"
Огоджа,5.0,"Отзыв написан 28 февраля, 2014, 14:08"
Балаганск,3.0,"Отзыв написан 28 февраля, 2014, 09:41"
Улан-Удэ,4.0,"Отзыв написан 27 февраля, 2014, 23:22"
Смоленск,3.0,"Отзыв написан 27 февраля, 2014, 16:35"
Сковородино,1.0,"Отзыв написан 26 февраля, 2014, 22:18"
Ивановское,4.0,"Отзыв написан 26 февраля, 2014, 16:33"
Лобня,1.0,"Отзыв написан 26 февраля, 2014, 16:22"
Домбай,5.0,"Отзыв написан 26 февраля, 2014, 15:51"
Курск,1.0,"Отзыв написан 26 февраля, 2014, 13:28"
Гаврильск,5.0,"Отзыв написан 25 февраля, 2014, 22:39"
Бутырки,5.0,"Отзыв написан 25 февраля, 2014, 18:58"
Алейск,5.0,"Отзыв написан 25 февраля, 2014, 16:40"
Вершина Тёи,4.0,"Отзыв написан 25 февраля, 2014, 14:10"
Алдан,5.0,"Отзыв написан 25 февраля, 2014, 14:06"
Новосибирск,1.0,"Отзыв написан 24 февраля, 2014, 22:46"
Богатые Сабы,3.0,"Отзыв написан 24 февраля, 2014, 16:43"
Язвище,5.0,"Отзыв написан 22 февраля, 2014, 19:27"
Кисловодск,4.0,"Отзыв написан 22 февраля, 2014, 19:07"
Сочи,1.0,"Отзыв написан 22 февраля, 2014, 18:08"
Пронино,5.0,"Отзыв написан 22 февраля, 2014, 00:29"
Сочи,5.0,"Отзыв написан 21 февраля, 2014, 12:55"
Черноголовка,1.0,"Отзыв написан 21 февраля, 2014, 12:39"
Новосибирск,3.0,"Отзыв написан 20 февраля, 2014, 09:17"
Козьминка,3.0,"Отзыв написан 19 февраля, 2014, 08:39"
Сургут,4.0,"Отзыв написан 18 февраля, 2014, 23:00"
Горно-Алтайск,1.0,"Отзыв написан 18 февраля, 2014, 20:02"
Евпатория,5.0,"Отзыв написан 17 февраля, 2014, 18:04"
Каменск-Шахтинский,2.0,"Отзыв написан 17 февраля, 2014, 11:21"
Калуга,4.0,"Отзыв написан 16 февраля, 2014, 11:15"
Коломна,5.0,"Отзыв написан 16 февраля, 2014, 11:01"
Частые,5.0,"Отзыв написан 16 февраля, 2014, 10:49"
Воронеж,1.0,"Отзыв написан 16 февраля, 2014, 04:22"
Качканар,1.0,"Отзыв написан 15 февраля, 2014, 17:32"
Красноуфимск,1.0,"Отзыв написан 14 февраля, 2014, 23:56"
Бестужево,5.0,"Отзыв написан 14 февраля, 2014, 23:21"
Самара,1.0,"Отзыв написан 14 февраля, 2014, 23:10"
Харп,5.0,"Отзыв написан 14 февраля, 2014, 20:38"
Шаховская,5.0,"Отзыв написан 14 февраля, 2014, 14:21"
Тверь,4.0,"Отзыв написан 14 февраля, 2014, 14:04"
Белгород,4.0,"Отзыв написан 14 февраля, 2014, 00:10"
Белгород,4.0,"Отзыв написан 14 февраля, 2014, 00:04"
Новоурусовка,5.0,"Отзыв написан 13 февраля, 2014, 23:07"
Невинномысск,1.0,"Отзыв написан 13 февраля, 2014, 14:52"
Красноярск,2.0,"Отзыв написан 13 февраля, 2014, 13:19"
Родничный Дол,1.0,"Отзыв написан 12 февраля, 2014, 17:12"
